,Duration,Air Temp F,Wind Spd (mph),Hour,Date
0,938.2073733,49,3.5,0,5/1/2018
1,976.9019608,48,4.6,1,5/1/2018
2,592.4305556,50,3.5,2,5/1/2018
3,464.6769231,49,4.6,3,5/1/2018
4,617.0266667,50,0,4,5/1/2018
5,528.5139186,50,3.5,5,5/1/2018
6,619.8250137,49,0,6,5/1/2018
7,735.2352941,49,3.5,7,5/1/2018
8,868.7855926,53,5.8,8,5/1/2018
9,1131.841309,57,3.5,9,5/1/2018
10,953.2721817,61,6.9,10,5/1/2018
11,909.8666956,67,5.8,11,5/1/2018
12,913.3397986,70,9.2,12,5/1/2018
13,987.3734896,73,5.8,13,5/1/2018
14,1249.942227,76,5.8,14,5/1/2018
15,868.8492116,78,11.5,15,5/1/2018
16,878.1593367,79,11.5,16,5/1/2018
17,927.9655782,79,3.5,17,5/1/2018
18,933.1198907,80,0,18,5/1/2018
19,981.6143766,79,6.9,19,5/1/2018
20,1005.557967,76,3.5,20,5/1/2018
21,1526.710551,74,0,21,5/1/2018
22,920.0487805,74,4.6,22,5/1/2018
23,740.3554736,72,9.2,23,5/1/2018
24,785.2762148,71,4.6,0,5/2/2018
25,811.7541899,70,6.9,1,5/2/2018
26,609.8313253,70,6.9,2,5/2/2018
27,665.3777778,69,5.8,3,5/2/2018
28,667.1157895,68,4.6,4,5/2/2018
29,643.5223881,66,4.6,5,5/2/2018
30,658.9449198,65,3.5,6,5/2/2018
31,803.8123949,67,5.8,7,5/2/2018
32,847.2870214,69,3.5,8,5/2/2018
33,816.203115,73,4.6,9,5/2/2018
34,922.3204373,78,3.5,10,5/2/2018
35,876.3835494,83,4.6,11,5/2/2018
36,875.8454512,85,5.2,12,5/2/2018
37,768.4555707,87,5.8,13,5/2/2018
38,815.9292667,88,5.8,14,5/2/2018
39,1363.624269,88,5.8,15,5/2/2018
40,1006.911812,89,10.4,16,5/2/2018
41,915.4157827,88,5.8,17,5/2/2018
42,1131.522456,87,19.6,18,5/2/2018
43,962.1915254,85,15,19,5/2/2018
44,904.7868566,83,8.1,20,5/2/2018
45,828.0498116,83,5.8,21,5/2/2018
46,837.7092437,79,4.6,22,5/2/2018
47,810.0712743,80,4,23,5/2/2018
48,786.6535088,78,3.5,0,5/3/2018
49,844.3271028,76,5.8,1,5/3/2018
50,1003.090909,75,5.8,2,5/3/2018
51,1435.903846,74,8.1,3,5/3/2018
52,511.5779817,73,3.5,4,5/3/2018
53,621.8505495,73,6.9,5,5/3/2018
54,666.4807056,72,8.1,6,5/3/2018
55,802.1780209,71,9.2,7,5/3/2018
56,852.9637002,73,9.2,8,5/3/2018
57,787.7285468,77,0,9,5/3/2018
58,801.5410309,81,3.5,10,5/3/2018
59,1420.635653,84,6.9,11,5/3/2018
60,882.7823815,88,10.4,12,5/3/2018
61,790.3518931,89,13.8,13,5/3/2018
62,820.4320508,90,12.7,14,5/3/2018
63,813.1880486,92,9.2,15,5/3/2018
64,856.3729349,92,8.1,16,5/3/2018
65,1210.948108,91,7.5,17,5/3/2018
66,1710.493261,90,6.9,18,5/3/2018
67,906.6854375,88,6.9,19,5/3/2018
68,1596.93344,72,3.5,20,5/3/2018
69,1015.016216,73,0,21,5/3/2018
70,783.6637233,75,0,22,5/3/2018
71,859.6783145,72,0,23,5/3/2018
72,871.3693878,73,0,0,5/4/2018
73,822.2239382,74,0,1,5/4/2018
74,938.4836066,73,0,2,5/4/2018
75,811.3285714,73,6.9,3,5/4/2018
76,704.7096774,73,0,4,5/4/2018
77,622.4582441,73,0,5,5/4/2018
78,641.7732843,73,3.5,6,5/4/2018
79,757.6518578,73,0,7,5/4/2018
80,801.2073228,74,0,8,5/4/2018
81,768.0748175,74,0,9,5/4/2018
82,795.601892,76,4.6,10,5/4/2018
83,816.2572016,76,5.8,11,5/4/2018
