Date/Time,Air Temp (℉),Dewpoint (℉),Precip (inches),RH (%),Wind Spd (mph),Wind Dir (degrees)
05/01/2018 00:00 EDT,49,38,0,66,3.5,-1
05/01/2018 01:00 EDT,48,37,0,66,4.6,270
05/01/2018 02:00 EDT,50,36,0,58,3.5,260
05/01/2018 03:00 EDT,49,36,0,61,4.6,260
05/01/2018 04:00 EDT,50,36,0,58,0,0
05/01/2018 05:00 EDT,50,38,0,63,3.5,-1
05/01/2018 06:00 EDT,49,36,0,61,0,0
05/01/2018 07:00 EDT,49,34,0,56,3.5,-1
05/01/2018 08:00 EDT,53,32,0,44,5.8,270
05/01/2018 09:00 EDT,57,33,0,40,3.5,-1
05/01/2018 10:00 EDT,61,28,0,28,6.9,300
05/01/2018 11:00 EDT,67,25,0,20,5.8,-1
05/01/2018 12:00 EDT,70,21,0,16,9.2,300
05/01/2018 13:00 EDT,73,24,0,16,5.8,-1
05/01/2018 14:00 EDT,76,23,0,14,5.8,310
05/01/2018 15:00 EDT,78,23,0,13,11.5,310
05/01/2018 16:00 EDT,79,23,0,12,11.5,320
05/01/2018 17:00 EDT,79,26,0,14,3.5,-1
05/01/2018 18:00 EDT,80,25,0,13,0,0
05/01/2018 19:00 EDT,79,26,0,14,6.9,290
05/01/2018 20:00 EDT,76,27,0,16,3.5,-1
05/01/2018 21:00 EDT,74,30,0,20,0,0
05/01/2018 22:00 EDT,74,33,0,22,4.6,200
05/01/2018 23:00 EDT,72,35,0,26,9.2,250
05/02/2018 00:00 EDT,71,35,0,27,4.6,260
05/02/2018 01:00 EDT,70,35,0,28,6.9,210
05/02/2018 02:00 EDT,70,34,0,26,6.9,-1
05/02/2018 03:00 EDT,69,34,0,27,5.8,-1
05/02/2018 04:00 EDT,68,34,0,28,4.6,-1
05/02/2018 05:00 EDT,66,34,0,30,4.6,-1
05/02/2018 06:00 EDT,65,34,0,32,3.5,260
05/02/2018 07:00 EDT,67,33,0,28,5.8,260
05/02/2018 08:00 EDT,69,35,0,29,3.5,260
05/02/2018 09:00 EDT,73,34,0,24,4.6,270
05/02/2018 10:00 EDT,78,36,0,22,3.5,270
05/02/2018 11:00 EDT,83,35,0,18,4.6,-1
05/02/2018 12:00 EDT,85,34,0,16,5.2,220
05/02/2018 13:00 EDT,87,36,0,16,5.8,-1
05/02/2018 14:00 EDT,88,35,0,15,5.8,-1
05/02/2018 15:00 EDT,88,35,0,15,5.8,-1
05/02/2018 16:00 EDT,89,32,0,13,10.4,250
05/02/2018 17:00 EDT,88,33,0,14,5.8,-1
05/02/2018 18:00 EDT,87,36,0,16,19.6,240
05/02/2018 19:00 EDT,85,38,0,19,15,240
05/02/2018 20:00 EDT,83,40,0,22,8.1,250
05/02/2018 21:00 EDT,83,41,0,23,5.8,-1
05/02/2018 22:00 EDT,79,43,0,28,4.6,-1
05/02/2018 23:00 EDT,80,42,0,26,4,220
05/03/2018 00:00 EDT,78,41,0,27,3.5,-1
05/03/2018 01:00 EDT,76,41,0,29,5.8,250
05/03/2018 02:00 EDT,75,41,0,29,5.8,-1
05/03/2018 03:00 EDT,74,41,0,31,8.1,260
05/03/2018 04:00 EDT,73,43,0,34,3.5,-1
05/03/2018 05:00 EDT,73,42,0,33,6.9,250
05/03/2018 06:00 EDT,72,44,0,37,8.1,220
05/03/2018 07:00 EDT,71,46,0,41,9.2,260
05/03/2018 08:00 EDT,73,46,0,38,9.2,250
05/03/2018 09:00 EDT,77,49,0,37,0,0
05/03/2018 10:00 EDT,81,50,0,34,3.5,-1
05/03/2018 11:00 EDT,84,51,0,32,6.9,-1
05/03/2018 12:00 EDT,88,54,0,32,10.4,250
05/03/2018 13:00 EDT,89,54,0,30,13.8,250
05/03/2018 14:00 EDT,90,55,0,31,12.7,260
05/03/2018 15:00 EDT,92,56,0,30,9.2,270
05/03/2018 16:00 EDT,92,55,0,29,8.1,240
05/03/2018 17:00 EDT,91,56,0,31,7.5,250
05/03/2018 18:00 EDT,90,56,0,32,6.9,250
05/03/2018 19:00 EDT,88,56,0,34,6.9,-1
05/03/2018 20:00 EDT,72,69,0.02,91,3.5,-1
05/03/2018 21:00 EDT,73,66,0,79,0,0
05/03/2018 22:00 EDT,75,65,0,71,0,0
05/03/2018 23:00 EDT,72,68,0,87,0,0
05/04/2018 00:00 EDT,73,65,0,76,0,0
05/04/2018 01:00 EDT,74,64,0,71,0,0
05/04/2018 02:00 EDT,73,64,0,73,0,0
05/04/2018 03:00 EDT,73,64,0,73,6.9,270
05/04/2018 04:00 EDT,73,63,0,71,0,0
05/04/2018 05:00 EDT,73,63,0,71,0,0
05/04/2018 06:00 EDT,73,63,0,71,3.5,-1
05/04/2018 07:00 EDT,73,63,0,71,0,0
05/04/2018 08:00 EDT,74,63,0,69,0,280
05/04/2018 09:00 EDT,74,64,0,71,0,0
05/04/2018 10:00 EDT,76,64,0,67,4.6,-1
05/04/2018 11:00 EDT,76,64,0,67,5.8,220
05/04/2018 12:00 EDT,77,63,0,62,3.5,-1
05/04/2018 13:00 EDT,77,64,0,64,6.9,250
05/04/2018 14:00 EDT,81,63,0,54,0,0
05/04/2018 15:00 EDT,81,62,0,53,6.9,-1
05/04/2018 16:00 EDT,81,61,0,51,6.3,180
05/04/2018 17:00 EDT,82,60,0,47,5.8,-1
05/04/2018 18:00 EDT,84,61,0,46,0,0
05/04/2018 19:00 EDT,82,60,0,47,0,0
05/04/2018 20:00 EDT,82,60,0,47,3.5,-1
